String1	String2	String3	String4	String5	String6	String7	String8	String9	String10
0.0407	0.0592	0.0820	0.0301	0.0893	0.0123	0.0799	0.0676	0.0806	0.0627
0.0898	0.0376	0.0542	0.0667	0.0578	0.0742	0.0479	0.0910	0.0685	0.0327
0.0718	0.0756	0.0925	0.0776	0.0234	0.0603	0.0736	0.0181	0.0274	0.0763
0.0733	0.0292	0.0412	0.0565	0.0162	0.0698	0.0210	0.0242	0.0248	0.0253
0.0900	0.0617	0.0772	0.0649	0.0358	0.0486	0.0239	0.0308	0.0814	0.0949
0.0074	0.0806	0.0497	0.0912	0.0110	0.0094	0.0902	0.0473	0.0614	0.0242
0.0915	0.0876	0.0683	0.0727	0.0345	0.0243	0.0363	0.0225	0.0390	0.0098
0.0398	0.0333	0.0819	0.0029	0.0569	0.0438	0.0733	0.0216	0.0722	0.0722
0.0276	0.0791	0.0204	0.0568	0.0092	0.0243	0.0556	0.0380	0.0353	0.0435
0.0216	0.0341	0.0173	0.0080	0.0773	0.0575	0.0768	0.0643	0.0251	0.0377
0.0732	0.0848	0.0034	0.0301	0.0701	0.0884	0.0437	0.0929	0.0426	0.0342
0.0753	0.0174	0.0366	0.0186	0.0802	0.0555	0.0505	0.0715	0.0758	0.0843
0.0092	0.0450	0.0332	0.0881	0.0228	0.0566	0.0143	0.0790	0.0746	0.0943
0.0029	0.0425	0.0652	0.0074	0.0219	0.0150	0.0144	0.0041	0.0142	0.0212
0.0242	0.0405	0.0401	0.0403	0.0059	0.0206	0.0733	0.0397	0.0609	0.0750
0.0866	0.0456	0.0700	0.0187	0.0570	0.0490	0.0818	0.0389	0.0837	0.0116
0.0171	0.0527	0.0118	0.0904	0.0910	0.0473	0.0322	0.0047	0.0794	0.0368
0.0714	0.0690	0.0551	0.0291	0.0494	0.0429	0.0054	0.0531	0.0881	0.0111
0.0250	0.0548	0.0575	0.0202	0.0460	0.0795	0.0846	0.0829	0.0146	0.0335
0.0675	0.0367	0.0367	0.0789	0.0469	0.0600	0.0908	0.0441	0.0038	0.0239
0.0612	0.0433	0.0299	0.0934	0.0295	0.0256	0.0729	0.0330	0.0832	0.0094
0.0810	0.0912	0.0272	0.0570	0.0133	0.0243	0.0076	0.0549	0.0242	0.0712
0.0422	0.0165	0.0531	0.0533	0.0813	0.0466	0.0612	0.0662	0.0476	0.0386
0.0078	0.0079	0.0497	0.0541	0.0477	0.0896	0.0244	0.0626	0.0800	0.0496
0.0782	0.0333	0.0789	0.0092	0.0047	0.0092	0.0338	0.0169	0.0070	0.0123
0.0626	0.0449	0.0604	0.0487	0.0888	0.0195	0.0219	0.0532	0.0155	0.0648
0.0107	0.0717	0.0315	0.0627	0.0169	0.0411	0.0522	0.0307	0.0061	0.0197
0.0393	0.0822	0.0815	0.0720	0.0643	0.0907	0.0913	0.0449	0.0911	0.0567
0.0328	0.0113	0.0719	0.0242	0.0244	0.0419	0.0768	0.0496	0.0612	0.0358
0.0134	0.0505	0.0776	0.0612	0.0407	0.0671	0.0952	0.0418	0.0649	0.0440
0.0759	0.0272	0.0892	0.0939	0.0624	0.0234	0.0838	0.0546	0.0740	0.0872
0.0537	0.0095	0.0650	0.0867	0.0493	0.0002	0.0501	0.0582	0.0017	0.0185
0.0046	0.0644	0.0929	0.0297	0.0181	0.0312	0.0314	0.0348	0.0724	0.0701
0.0817	0.0321	0.0784	0.0601	0.0223	0.0530	0.0084	0.0116	0.0408	0.0085
0.0864	0.0577	0.0320	0.0536	0.0293	0.0731	0.0292	0.0399	0.0352	0.0825
0.0612	0.0675	0.0907	0.0137	0.0397	0.0348	0.0849	0.0599	0.0396	0.0043
0.0645	0.0044	0.0573	0.0035	0.0708	0.0505	0.0765	0.0315	0.0480	0.0623
0.0589	0.0755	0.0514	0.0506	0.0819	0.0682	0.0167	0.0018	0.0356	0.0717
0.0247	0.0609	0.0369	0.0940	0.0907	0.0223	0.0578	0.0320	0.0733	0.0727
0.0765	0.0932	0.0824	0.0354	0.0824	0.0197	0.0682	0.0895	0.0657	0.0442
0.0048	0.0844	0.0527	0.0395	0.0061	0.0699	0.0358	0.0001	0.0241	0.0130
0.0074	0.0409	0.0629	0.0459	0.0408	0.0898	0.0654	0.0245	0.0709	0.0810
0.0771	0.0877	0.0313	0.0122	0.0763	0.0284	0.0287	0.0742	0.0814	0.0409
0.0656	0.0423	0.0137	0.0833	0.0402	0.0399	0.0514	0.0620	0.0280	0.0703
0.0677	0.0379	0.0828	0.0767	0.0537	0.0607	0.0907	0.0877	0.0734	0.0769
0.0566	0.0341	0.0014	0.0493	0.0077	0.0237	0.0876	0.0935	0.0439	0.0757
0.0731	0.0215	0.0657	0.0423	0.0248	0.0233	0.0919	0.0910	0.0766	0.0882
0.0165	0.0329	0.0273	0.0853	0.0580	0.0607	0.0889	0.0058	0.0576	0.0698
0.0048	0.0689	0.0809	0.0674	0.0901	0.0271	0.0621	0.0850	0.0195	0.0816
0.0125	0.0005	0.0580	0.0876	0.0492	0.0036	0.0582	0.0658	0.0868	0.0786
